id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item,product_name,brand_id,brand_name
55365176,5408782531210,"Túi zip có đặc điểm là dai, bền, được thiết kế có khóa miết do vậy ta có thể dán kín miệng túi mà không cần dùng chun hay dây để buộc túiTúi zip được dùng để đựng rất nhiều loại đồ dùng khác nhau nh...",50000,59000,,9000,15,196,,available,,1000,,7304105,Túi ni lông tự phân hủy sinh học GIMEX II
115092053,6156159064709,"Theo các chuyên gia y tế, tối thiểu bạn nên thay ga giường, gối 1 lần/tuần. Bởi trên mặt ga giường, vỏ gối chứa vô số vi khuẩn từ tế bào chết trên da (cơ thể mất hàng triệu tế bào da mỗi ngày), phấn t...",99000,110000,,11000,10,370,,available,,1000,,697923,LIDACO
10227148,3182004464419,"Dụng Cụ Mài Dao 3 Lớp Lock&Lock CKK112 (245 x 53 mm) có thể dùng để mài dao bằng kim loại, mài bén lưỡi dao cùn một cách dễ dàng, nhanh chóng.Chỉ cần đặt dao vào rãnh và kéo, mọi chuyện sẽ hoàn...",248000,275000,,27000,10,364,,available,,1000,,48077,Lock&Lock
104680874,8634216010967," Cây lau MyJae 3 lần vắt3 thanh gạt, phân ra ngăn khô và ngăn giặt2 van xả nước, vệ sinh dễ dàngThùng nhỏ gọn, cất giữ dễ dàng Cây lau MyJae 3 lằn vắt3 thanh gạt, ph...",499000,1190000,,691000,58,30,,available,,1000,,3807547,MyJae
165256438,5288949507935,Khăn mặt sợi tre Bamboo&Love 30x50 mềm mại kháng khuẩn siêu thấm hút an toàn cho da ngay cả với trẻ sơ sinh***Thông tin về sản phẩm- Tên sản phẩm: Khăn mặt 30x50c- Chất liệu: 60% sợi tre...,22900,38000,,15100,40,151,,available,,1000,,111461,OEM
75615959,5061452148417," Khăn lau đa năng 2 mặt Parroti Fiber được làm từ sợi Microfiber, có tính chất hút nước cực cao, không để lại vệt nước hay vệt lau trên bề mặt. Sợi Microfiber còn có tính chất bền, không có bụi v...",49000,89000,,40000,45,0,,available,,1000,,746615,Parroti
48716779,7707446082524,"Combo 6 cuộn Túi đựng rác gia đình, Bao đựng rác văn phòng tiện lợi màu đen size trung 55x65An toàn, tiện lợi, tiết kiệm tối ưu.Đáy túi chắc chắn, chống rò rỉ nước, kín mùi.Giữa các túi có đường gân...",76800,95000,,18200,19,390,,available,,1000,,288231,Titapha
90185032,7473220986860," Gỗ thông mới nhập khẩu: gỗ thông mặt rộng 22cm x dày 2cm +  được xử lý láng mịn 4 mặt, về chỉ việc thi công Số lượng: 1 tấm gỗ thông mới dài 120cm  x mặt rộng 22cm x độ dày 2cm + láng mịn 4 mặt----...",111000,111000,,0,0,0,,available,,1000,,111461,OEM
104991715,5921659206513,"Giới thiệu sản phẩmCombo Chảo chiên Tefal Natura B2260295 20cm & Chảo chiên sâu lòng Tefal Natura B2266495 24cm Độ bền vượt trội, có thể sử dụng ít dầu khi nấu ănBên ngoài được phủ sơn chống ...",829000,829000,,0,0,0,,available,,1000,,19813,Tefal
122911188,1973198437145,   Găng tay cao su Parroti Active được làm từ Nitrile (làm găng tay y tế) vừa có tính chất an toàn với người dùng vừa có tính siêu dai và bền. Khác với loại thông thường có mùi hôi của nhựa và ...,59000,89000,,30000,34,0,,available,,1000,,746615,Parroti
